Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,Standard_Deviation
168.11198039609073,175.2223467426814,167.93223151976522,174.8029022216797,91070300,0.0,0.0,,
174.02396056517827,178.11841323915218,173.97404048032485,176.3108673095703,101593300,0.0,0.0,,
175.12246672810386,176.3907507163252,172.26634013147174,172.45608520507812,73531800,0.0,0.0,,
171.51735860621622,173.5246305050547,168.04207665484262,169.15057373046875,73711200,0.0,0.0,,
169.38026555932345,170.41885018494213,167.77244567871094,167.77244567871094,50901200,0.0,0.0,172.09857482910155,3.6259727025859076
167.80240048283883,168.4115748413261,166.3244094241613,166.81373596191406,43122900,0.0,0.0,170.50074157714843,3.88720631881832
165.98487225449642,166.17460209603956,163.85775250181075,164.77650451660156,67772100,0.0,0.0,168.1938690185547,2.8654195046741155
165.2957978276927,167.0334311443882,164.54681374618735,165.6153564453125,48116400,0.0,0.0,166.82572326660156,1.7295694571074745
165.12603141917054,166.8237256382575,164.69660595141522,166.67391967773438,49537800,0.0,0.0,166.33039245605468,1.1572590050093068
166.314409667324,169.07068091357843,165.98487007216977,168.7910614013672,48251800,0.0,0.0,166.53411560058595,1.510368513150353
169.30036860607288,170.37890756324487,167.92223295444407,169.65988159179688,50558300,0.0,0.0,167.1033447265625,2.0734613981278636
169.64989490386353,171.10790873595283,168.95083089432222,169.0706787109375,44838400,0.0,0.0,167.9621795654297,1.7295375045970376
173.135155347243,175.79155587925112,172.86553204943687,173.26498413085938,68169400,0.0,0.0,169.49210510253906,2.3913383635403482
173.0952254245227,174.75298060286988,169.76973409860494,170.0992889404297,65934800,0.0,0.0,170.17717895507812,1.7995741776188183
169.35029821950587,172.47606337229135,168.88093363624031,169.0706787109375,50383100,0.0,0.0,170.23310241699218,1.7493750764648206
172.27632387025395,173.18509490154895,170.65852309137927,172.79562377929688,94214900,0.0,0.0,170.8602508544922,2.0317855716808553
186.39716669784414,186.74669869974952,182.41258111434803,183.13160705566406,163224100,0.0,0.0,173.6724365234375,5.575712596007514
182.1030149635848,183.95050001542788,180.17562120419342,181.46388244628906,78569700,0.0,0.0,175.31221618652344,6.546955575155883
183.2015043518014,184.6495372034914,181.07439990990315,182.15292358398438,77305800,0.0,0.0,177.7229431152344,6.364219410359933
182.60232902746063,182.82203224839753,181.20421623621485,182.4924774169922,45057100,0.0,0.0,180.4073028564453,4.297411920139253
182.31272011600538,184.4098817621062,181.86333268844692,184.32000732421875,48983000,0.0,0.0,182.7121795654297,1.0817013804606
184.89999389648438,185.08999633789062,182.1300048828125,183.0500030517578,50727400,0.25,0.0,182.69585876464845,1.074381793360878
